"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FAM3D",0,2.83058112000173,0.659,0.136,0,"1","FAM3D"
"MUC5B",0,4.53737255733743,0.697,0.191,0,"1","MUC5B"
"PTPRN2",0,2.10169854711813,0.664,0.212,0,"1","PTPRN2"
"MUC5AC",0,2.54048190299575,0.852,0.402,0,"1","MUC5AC"
"TFF1",0,2.34854332856634,0.774,0.34,0,"1","TFF1"
"F5",0,1.6854868634914,0.777,0.365,0,"1","F5"
"ADAP1",0,1.2525585352232,0.919,0.568,0,"1","ADAP1"
"TFF3",0,2.15147628221025,0.951,0.605,0,"1","TFF3"
"MUC6",0,2.84169621351481,0.95,0.63,0,"1","MUC6"
"ASCL2",0,1.33564465637783,0.927,0.674,0,"1","ASCL2"
"ALDH1A1",0,1.64845918606835,0.933,0.712,0,"1","ALDH1A1"
"UQCRH",0,0.990320735502914,0.985,0.822,0,"1","UQCRH"
"MUC2",0,1.5917834224493,0.992,0.857,0,"1","MUC2"
"PYGB",0,1.10021198777765,0.992,0.924,0,"1","PYGB"
"PLA2G2A",0,2.18620572784269,0.991,0.95,0,"1","PLA2G2A"
"LGALS3",4.12799284453716e-296,0.963020217385168,0.998,0.951,7.46547505934546e-292,"1","LGALS3"
"MT1E",1.98574509316057e-285,1.32535209706657,0.842,0.444,3.59122000098089e-281,"1","MT1E"
"AQP5",3.1843653633891e-284,1.72573536186761,0.685,0.281,5.75892475968919e-280,"1","AQP5"
"PPIA",4.28404192656915e-281,0.826974393206738,0.994,0.892,7.74768982420031e-277,"1","PPIA"
"C3orf67",9.60535277624636e-280,1.51060487139289,0.724,0.319,1.73712804958415e-275,"1","C3orf67"
"NOX1",1.48281821689385e-273,1.51854515302872,0.773,0.395,2.68167674525253e-269,"1","NOX1"
"SP5",3.5247094793964e-272,2.15684239320402,0.645,0.272,6.3744370934884e-268,"1","SP5"
"COLGALT2",1.3050606518023e-268,1.78004737100319,0.534,0.158,2.36020218878445e-264,"1","COLGALT2"
"NKD1",7.78734156510759e-262,2.36797045133679,0.427,0.098,1.40834072204971e-257,"1","NKD1"
"GSTP1",8.19801950594264e-257,0.585757422643614,0.999,0.967,1.48261182764973e-252,"1","GSTP1"
"CDHR1",6.17285678646187e-244,1.51134049079973,0.808,0.46,1.11636114983163e-239,"1","CDHR1"
"MT-CO2",3.38184143002041e-243,0.58942726059072,1,1,6.11606022619192e-239,"1","MT-CO2"
"CERS6",1.95135587245739e-240,0.805883599390465,0.975,0.796,3.52902709533918e-236,"1","CERS6"
"MT1G",4.41241057769935e-240,1.15167804096326,0.801,0.412,7.97984452976928e-236,"1","MT1G"
"SEC61B",2.51767941135032e-234,0.817382930728584,0.97,0.841,4.55322321542705e-230,"1","SEC61B"
"HIST1H1E",7.39380878901178e-227,0.748990873941857,0.993,0.897,1.33717031949278e-222,"1","HIST1H1E"
"MCTP1",1.3058643664194e-225,0.933343486812619,0.863,0.56,2.36165570666948e-221,"1","MCTP1"
"MT-ND4L",7.91211179690556e-223,0.554994347116459,1,1,1.43090541847037e-218,"1","MT-ND4L"
"ZFP36L2",9.40777029608563e-223,0.589380872445503,0.999,0.96,1.70139525804709e-218,"1","ZFP36L2"
"CTNNB1",8.98705727937937e-221,0.6719972612804,0.989,0.883,1.62530930897576e-216,"1","CTNNB1"
"UBB",2.57363752895037e-220,0.586431073562378,0.993,0.919,4.65442347110674e-216,"1","UBB"
"CD46",2.75001725383008e-218,0.615786314211614,0.995,0.924,4.9734062035517e-214,"1","CD46"
"ATP5PF",8.86232733307944e-217,0.798021027214657,0.945,0.727,1.60275189818742e-212,"1","ATP5PF"
"HIST1H2BB",5.91211044440457e-216,1.05547255337536,0.921,0.662,1.06920517387057e-211,"1","HIST1H2BB"
"STARD10",6.71076930755151e-216,0.71249342848828,0.982,0.841,1.21364262927069e-211,"1","STARD10"
"UTP20",7.97119851330594e-216,0.897581390106118,0.939,0.709,1.44159125113138e-211,"1","UTP20"
"NUCB2",8.15981567615393e-213,0.707079160920615,0.981,0.859,1.47570266503244e-208,"1","NUCB2"
"ENTPD6",1.12800249837038e-210,0.670873479925302,0.976,0.835,2.03999251830282e-206,"1","ENTPD6"
"TESC",1.70150638358108e-210,2.14010546794729,0.631,0.279,3.07717429470638e-206,"1","TESC"
"GAD1",5.87234621571795e-209,1.9192473757646,0.54,0.211,1.06201381311259e-204,"1","GAD1"
"P4HB",1.36571845404975e-208,0.565177964545852,0.993,0.927,2.46990182414897e-204,"1","P4HB"
"HIST1H4C",1.00444985609148e-207,0.776965812197282,0.989,0.854,1.81654756474145e-203,"1","HIST1H4C"
"ALCAM",7.94367964323132e-204,0.613291710788509,0.982,0.864,1.43661446347838e-199,"1","ALCAM"
"PLAC8",2.93095180508089e-203,1.84854624837302,0.62,0.276,5.30062633948878e-199,"1","PLAC8"
"WNK2",3.81747632996128e-202,1.19733349630138,0.854,0.545,6.90390594273498e-198,"1","WNK2"
"ALDH4A1",2.88074419350315e-200,1.222942197479,0.712,0.366,5.20982587395045e-196,"1","ALDH4A1"
"NR1I2",1.87484870872235e-199,1.53854798392451,0.553,0.212,3.39066388972438e-195,"1","NR1I2"
"VPS29",4.95714405517352e-199,0.861713166147775,0.919,0.625,8.96499502378131e-195,"1","VPS29"
"GALNT12",4.71249891899331e-198,1.06333104866711,0.852,0.564,8.5225542949994e-194,"1","GALNT12"
"CANT1",2.07287034146509e-197,0.616763326727186,0.984,0.853,3.74878601253962e-193,"1","CANT1"
"HIST1H2AE",2.86111278488793e-196,0.868435865964087,0.93,0.691,5.17432247146982e-192,"1","HIST1H2AE"
"MT-CO3",1.23981012910777e-195,0.473474437937197,1,1,2.2421966184914e-191,"1","MT-CO3"
"RGMB",5.52572863064813e-193,0.890796628752535,0.943,0.736,9.99328022852714e-189,"1","RGMB"
"PHGDH",9.42599852174829e-193,0.925261347154714,0.938,0.737,1.70469183265818e-188,"1","PHGDH"
"NEBL",1.78933382736489e-192,1.38839707552445,0.601,0.253,3.2360102267894e-188,"1","NEBL"
"L1TD1",6.05784295833062e-192,1.5377757258248,0.353,0.086,1.09556089901409e-187,"1","L1TD1"
"CHCHD10",2.06561504414514e-191,0.773573287236574,0.951,0.689,3.73566480733648e-187,"1","CHCHD10"
"SLPI",9.3262797346926e-190,2.25667325915272,0.362,0.093,1.68665769001916e-185,"1","SLPI"
"HIST1H4J",3.00325031913497e-189,0.904050852316116,0.896,0.61,5.4313782021556e-185,"1","HIST1H4J"
"HIST1H2BN",3.38897330117435e-189,0.945016052667743,0.862,0.528,6.12895821517381e-185,"1","HIST1H2BN"
"RACK1",6.39976084692578e-189,0.564109324446443,0.999,0.975,1.15739674916653e-184,"1","RACK1"
"CSTF2",1.76011373091367e-188,0.936532347436156,0.856,0.556,3.18316568235738e-184,"1","CSTF2"
"EHF",1.14042713511735e-186,0.726921895430562,0.978,0.784,2.06246247385973e-182,"1","EHF"
"MT-ND3",5.02503811280543e-186,0.488580274776647,1,1,9.08778142700862e-182,"1","MT-ND3"
"PCBP2",6.0913096832023e-186,0.708095780805693,0.972,0.769,1.10161335620714e-181,"1","PCBP2"
"MORC4",1.14499559167888e-185,1.03249820705838,0.894,0.648,2.07072452755126e-181,"1","MORC4"
"FOXQ1",1.08053969318767e-183,1.43874318792186,0.576,0.244,1.95415603512989e-179,"1","FOXQ1"
"ASIC1",1.81901455751513e-183,1.1697734183307,0.668,0.324,3.28968782726611e-179,"1","ASIC1"
"TST",8.40317336683086e-182,0.780572575101651,0.948,0.72,1.51971390339136e-177,"1","TST"
"TSPAN8",2.10827624039326e-181,1.49223302770207,0.947,0.712,3.8128175807512e-177,"1","TSPAN8"
"GDF15",9.53011082591439e-181,1.52969987151434,0.749,0.411,1.72352054286662e-176,"1","GDF15"
"SOX9",2.23190459724038e-180,0.663953658904579,0.976,0.778,4.03639946410923e-176,"1","SOX9"
"LPL",2.01666129606284e-179,1.90363761039005,0.498,0.183,3.64713195392965e-175,"1","LPL"
"KCTD17",3.05784646622151e-179,0.817302029257278,0.873,0.615,5.5301153341616e-175,"1","KCTD17"
"GUCY2C",6.81184173165274e-178,1.34433936838939,0.684,0.35,1.2319215771694e-173,"1","GUCY2C"
"LARGE1",4.44450239523705e-176,1.01372869445889,0.527,0.19,8.0378825817862e-172,"1","LARGE1"
"PKIB",6.02466153336192e-176,1.01264919972085,0.629,0.282,1.0895600383085e-171,"1","PKIB"
"C1QBP",1.88420633325348e-175,0.652033947600916,0.98,0.832,3.40758715368891e-171,"1","C1QBP"
"POLR2L",9.05420275455521e-174,0.515479664019921,0.992,0.92,1.63745256816131e-169,"1","POLR2L"
"DLD",2.7475267419787e-172,0.603252624641252,0.98,0.828,4.96890211286848e-168,"1","DLD"
"MT-ATP6",3.54448509795723e-171,0.465277872666726,1,1,6.41020129965565e-167,"1","MT-ATP6"
"RAB17",1.12874560476547e-168,1.051597354063,0.646,0.313,2.04133642621836e-164,"1","RAB17"
"ERN2",1.79907621179804e-168,0.847998029416622,0.907,0.636,3.25362932903676e-164,"1","ERN2"
"DMTN",2.00970813474606e-168,1.12264526559633,0.626,0.293,3.63455716168826e-164,"1","DMTN"
"GMPS",2.94816169747765e-168,0.591621099007539,0.984,0.853,5.33175042988832e-164,"1","GMPS"
"UGT8",1.23743361218506e-167,0.781019218923156,0.905,0.651,2.23789868763668e-163,"1","UGT8"
"TMED2",2.22882176201793e-166,0.475998955994007,0.991,0.919,4.03082415660942e-162,"1","TMED2"
"FOXA2",8.86349799275347e-166,0.824696039694607,0.87,0.575,1.60296361198947e-161,"1","FOXA2"
"HSPA5",3.38296861266333e-165,0.543583683250974,0.981,0.895,6.11809873600163e-161,"1","HSPA5"
"HNRNPR",1.14757549280782e-163,0.577170174080125,0.975,0.827,2.07539027874294e-159,"1","HNRNPR"
"CBX4",3.14764797083012e-162,0.744175089310493,0.902,0.656,5.69252135524627e-158,"1","CBX4"
"EXPH5",7.75528685309439e-162,0.86491949466131,0.873,0.587,1.40254362738212e-157,"1","EXPH5"
"MT-ND5",2.05862581689682e-161,0.293590929439913,1,0.999,3.7230247898579e-157,"1","MT-ND5"
"NCR3LG1",4.78808525550236e-161,0.804818181954676,0.868,0.57,8.65925218457602e-157,"1","NCR3LG1"
"CD47",5.36200733770681e-161,0.448662213635687,0.99,0.917,9.69719027024276e-157,"1","CD47"
"FABP6",4.88451576614205e-160,1.56943853719222,0.371,0.114,8.83364676306791e-156,"1","FABP6"
"AMD1",7.01231680682518e-160,0.618545258537176,0.971,0.795,1.26817749451433e-155,"1","AMD1"
"NOP56",1.10697902484236e-158,0.522848529373557,0.99,0.886,2.00197156642741e-154,"1","NOP56"
"SNRPD1",1.65667909241222e-158,0.673450860765622,0.956,0.746,2.99610413862749e-154,"1","SNRPD1"
"FAM169A",7.14859335365169e-157,0.803331752069687,0.883,0.626,1.29282310800791e-152,"1","FAM169A"
"COX7C",1.39359223263287e-156,0.440341323080607,0.994,0.922,2.52031155271655e-152,"1","COX7C"
"SRRM2",1.43203924150336e-156,0.536900991298527,0.991,0.891,2.58984296825883e-152,"1","SRRM2"
"ATP1B1",1.60226972431436e-156,0.580581206753322,0.998,0.939,2.89770479642251e-152,"1","ATP1B1"
"ASPH",2.56240783777181e-156,0.391080977731696,0.999,0.97,4.63411457461032e-152,"1","ASPH"
"ABLIM1",8.27022396321192e-156,0.746389920965273,0.928,0.703,1.49567000374688e-151,"1","ABLIM1"
"ZKSCAN1",2.14685327058206e-155,0.641493980552552,0.978,0.855,3.88258413984765e-151,"1","ZKSCAN1"
"OTULINL",9.66148760097287e-155,0.664978984490002,0.961,0.789,1.74728003263594e-150,"1","OTULINL"
"IRF2BP2",1.06240391489231e-154,0.611271823846589,0.975,0.824,1.92135748008274e-150,"1","IRF2BP2"
"PPP1R1B",2.79930376534022e-154,0.588054458252745,0.983,0.817,5.06254085961779e-150,"1","PPP1R1B"
"SCN2A",4.34095354150059e-154,1.09857238047967,0.675,0.376,7.85061447980381e-150,"1","SCN2A"
"PSME2",1.33551043859512e-153,0.691723838024581,0.934,0.658,2.41527062819928e-149,"1","PSME2"
"ATP5PO",2.70530826184242e-153,0.758918103355853,0.876,0.593,4.89254999154201e-149,"1","ATP5PO"
"ATP5MF",3.85760574803783e-153,0.480300918199471,0.994,0.91,6.97647999532641e-149,"1","ATP5MF"
"ADGRL1",6.38978650779627e-153,0.85977024572799,0.831,0.55,1.15559288993495e-148,"1","ADGRL1"
"ETFB",1.79352901511726e-151,0.540303306058229,0.981,0.849,3.24359722383957e-147,"1","ETFB"
"SET",6.40360432656573e-151,0.482320271125555,0.996,0.93,1.15809184245941e-146,"1","SET"
"MMP12",1.69278374167397e-150,0.577987189007937,0.96,0.752,3.06139939681738e-146,"1","MMP12"
"TRMT2B",2.2523881979543e-148,0.70143370227439,0.916,0.673,4.07344405600035e-144,"1","TRMT2B"
"UQCRC2",4.71753439799645e-148,0.518354409071622,0.98,0.845,8.53166095877658e-144,"1","UQCRC2"
"VWA2",1.12349155352914e-147,1.22683291442041,0.597,0.284,2.03183447455745e-143,"1","VWA2"
"ASPHD2",1.96824301828809e-147,0.827284439320931,0.766,0.468,3.55956749857401e-143,"1","ASPHD2"
"MYEOV",2.21190883029461e-147,1.5094081744064,0.463,0.179,4.00023711958781e-143,"1","MYEOV"
"PDIA6",7.24443441090044e-147,0.49237898469163,0.99,0.904,1.31015596321134e-142,"1","PDIA6"
"SNRPB",1.67964860656558e-146,0.499590820361701,0.993,0.899,3.03764450497385e-142,"1","SNRPB"
"SEMA4G",2.54411306848771e-146,1.10542238604516,0.563,0.252,4.60102848436003e-142,"1","SEMA4G"
"DDX39B",3.84390763371764e-146,0.565331434089143,0.974,0.815,6.95170695557836e-142,"1","DDX39B"
"RASAL1",1.9685773930676e-145,1.35248585652876,0.363,0.113,3.56017221536276e-141,"1","RASAL1"
"GRIN2D",1.7864204405466e-143,0.918579354111662,0.593,0.281,3.23074136672853e-139,"1","GRIN2D"
"PTGER2",3.63409523294871e-143,0.89590578309169,0.831,0.564,6.57226122878775e-139,"1","PTGER2"
"JPH1",1.54630043405832e-142,0.881463328235811,0.774,0.465,2.79648433499448e-138,"1","JPH1"
"ATF4",4.86333259989576e-142,0.451831418360395,0.993,0.913,8.79533700691147e-138,"1","ATF4"
"ATP5F1E",1.36886937061674e-141,0.388113911012854,0.992,0.927,2.47560025676038e-137,"1","ATP5F1E"
"SNTB1",1.40907813225566e-141,0.633010091534822,0.914,0.649,2.54831780218436e-137,"1","SNTB1"
"NOC2L",3.51194263030149e-141,0.608746130170023,0.926,0.683,6.35134824690025e-137,"1","NOC2L"
"STXBP6",6.58214148201318e-141,0.677821929047921,0.929,0.697,1.19038028702208e-136,"1","STXBP6"
"CLDN2",1.65394866292281e-140,1.54475288884328,0.341,0.105,2.99116615689589e-136,"1","CLDN2"
"TMEM141",1.73686229570293e-140,0.692329323594677,0.902,0.668,3.14111546177876e-136,"1","TMEM141"
"CAMK2N1",2.79035902135559e-140,1.27086866894625,0.951,0.821,5.04636429012158e-136,"1","CAMK2N1"
"PRC1",6.29019301066404e-140,0.6178390657011,0.962,0.769,1.13758140597859e-135,"1","PRC1"
"PLEKHJ1",6.74024561595314e-140,0.555565214864611,0.968,0.796,1.21897341964513e-135,"1","PLEKHJ1"
"ADRM1",7.33978134064906e-140,0.445390187075536,0.993,0.892,1.32739945545638e-135,"1","ADRM1"
"VKORC1L1",9.02475546099509e-140,0.571741426573253,0.959,0.782,1.63212702512096e-135,"1","VKORC1L1"
"NEURL1B",2.01832366730051e-139,0.729236094822458,0.859,0.619,3.65013835231297e-135,"1","NEURL1B"
"LYN",2.18164214591156e-139,0.547668877561173,0.969,0.838,3.94549982088105e-135,"1","LYN"
"COLEC11",5.42372013265529e-137,1.02831480148311,0.439,0.166,9.8087978599071e-133,"1","COLEC11"
"NMNAT3",1.15344653235253e-136,0.653390614420128,0.915,0.678,2.08600805375954e-132,"1","NMNAT3"
"PGAP1",2.57015200906665e-136,0.899088680543618,0.745,0.444,4.64811990839703e-132,"1","PGAP1"
"LARP1B",6.15748463487754e-136,0.578453197264839,0.95,0.788,1.1135810962176e-131,"1","LARP1B"
"MAOA",2.78598168143853e-135,1.00910324644996,0.738,0.438,5.03844787088159e-131,"1","MAOA"
"PTTG1",4.41298324290311e-135,0.588364594205955,0.965,0.776,7.98088019479027e-131,"1","PTTG1"
"MT-ND1",4.68112250846291e-135,0.267654680565457,1,0.999,8.46581005655517e-131,"1","MT-ND1"
"HAAO",4.97647760133018e-135,0.824834634748803,0.883,0.638,8.99995974200563e-131,"1","HAAO"
"TRA2A",5.4030768996612e-135,0.414697795313914,0.99,0.915,9.77146457303727e-131,"1","TRA2A"
"CACNA1D",1.75830755061826e-134,0.952040398028669,0.717,0.41,3.17989920529313e-130,"1","CACNA1D"
"RCC2",4.59540037917305e-134,0.513656866601248,0.984,0.852,8.31078158573446e-130,"1","RCC2"
"SAR1A",1.07567524282169e-133,0.759629738083152,0.701,0.368,1.94535867664302e-129,"1","SAR1A"
"AKR1E2",1.41727710427e-133,0.749708241984229,0.836,0.554,2.56314564307229e-129,"1","AKR1E2"
"CAPN9",3.49240639517169e-133,1.64154464802523,0.325,0.097,6.31601696566799e-129,"1","CAPN9"
"POLR2A",4.1031348265852e-133,0.416896676912854,0.992,0.929,7.42051933387934e-129,"1","POLR2A"
"ACAT1",1.07447359522592e-132,0.523462188164038,0.973,0.835,1.94318549696607e-128,"1","ACAT1"
"MT-CYB",1.21296710043212e-132,0.332030467358585,1,1,2.19365100113149e-128,"1","MT-CYB"
"CES3",1.98426871369145e-132,0.828888792022481,0.724,0.404,3.58854996871099e-128,"1","CES3"
"CHIT1",2.1844644168636e-132,1.38479776163327,0.465,0.189,3.95060389789782e-128,"1","CHIT1"
"DUSP6",4.35195914287661e-132,0.620410291997835,0.931,0.719,7.87051810989235e-128,"1","DUSP6"
"CYC1",9.91640572387857e-132,0.472156174467425,0.993,0.913,1.79338197516344e-127,"1","CYC1"
"AXIN2",1.03517815982899e-131,0.734417561135916,0.881,0.608,1.87211970205074e-127,"1","AXIN2"
"ELOVL7",1.2826760470797e-131,0.794901511292754,0.828,0.538,2.31971963114364e-127,"1","ELOVL7"
"USH1C",2.2814844740767e-131,0.809430737886476,0.875,0.601,4.12606467136771e-127,"1","USH1C"
"GDI2",3.21773913938082e-131,0.483357536281933,0.973,0.826,5.81928123357021e-127,"1","GDI2"
"CDCA7L",4.73100631659758e-131,0.57474167618252,0.963,0.78,8.55602492356673e-127,"1","CDCA7L"
"ATP5F1A",7.1119599143065e-131,0.449829483186363,0.983,0.888,1.28619795050233e-126,"1","ATP5F1A"
"NAPG",1.42444300132624e-130,0.595584062037432,0.923,0.714,2.5761051678985e-126,"1","NAPG"
"SDHA",2.89545173040992e-130,0.492212919497198,0.976,0.85,5.23642445444635e-126,"1","SDHA"
"CEP72",3.0370805243645e-130,0.674425704618089,0.937,0.715,5.4925601283132e-126,"1","CEP72"
"MYCN",3.16950026868869e-130,0.706172469107626,0.44,0.172,5.73204123592349e-126,"1","MYCN"
"ATAD2",5.96004262897029e-130,0.659916834985994,0.934,0.708,1.07787370944928e-125,"1","ATAD2"
"CDH3",1.47556384091488e-129,0.838713692988475,0.721,0.426,2.66855720629456e-125,"1","CDH3"
"GATA6",2.15889557557283e-129,0.551604791121572,0.96,0.795,3.90436264842346e-125,"1","GATA6"
"BDH1",4.55957148086638e-129,0.675729891621552,0.903,0.652,8.24598502314685e-125,"1","BDH1"
"NNT",5.64465830734518e-129,0.490733446928126,0.971,0.843,1.02083645488338e-124,"1","NNT"
"NMU",7.19016301043919e-129,0.732222878087765,0.87,0.617,1.30034098043793e-124,"1","NMU"
"KRTCAP2",2.07243747725719e-128,0.497777881595799,0.967,0.818,3.74800317761963e-124,"1","KRTCAP2"
"NANS",2.51722374032312e-128,0.521257248554221,0.975,0.847,4.55239913437436e-124,"1","NANS"
"PSAT1",3.77823621380092e-128,0.621623199282581,0.949,0.768,6.83294019265897e-124,"1","PSAT1"
"ENTPD2",3.89987684605651e-128,1.37124962095414,0.376,0.137,7.05292727609319e-124,"1","ENTPD2"
"SNRPF",7.63613470417999e-128,0.589017994384756,0.942,0.738,1.38099496125095e-123,"1","SNRPF"
"TMEM125",1.59690111420775e-127,0.906210844466687,0.595,0.293,2.88799566504472e-123,"1","TMEM125"
"ARHGEF16",6.12562552036235e-127,0.678324333815381,0.904,0.655,1.10781937535753e-122,"1","ARHGEF16"
"POLD2",1.26097598298391e-126,0.547878233400637,0.977,0.816,2.28047506522639e-122,"1","POLD2"
"TMED7",1.26125645509235e-126,0.34439283894578,0.992,0.94,2.28098229903451e-122,"1","TMED7"
"EED",1.49124173371683e-126,0.583355711841539,0.938,0.716,2.69691067542689e-122,"1","EED"
"TAF15",4.32656717271268e-126,0.521929880534349,0.965,0.801,7.82459673185089e-122,"1","TAF15"
"PHB2",4.97155932442533e-126,0.512754147253793,0.975,0.823,8.99106503822321e-122,"1","PHB2"
"ARPC1A",5.76188505120984e-126,0.526525588089008,0.966,0.8,1.0420369115113e-121,"1","ARPC1A"
"PON2",5.87257170905276e-126,0.604432181778919,0.989,0.899,1.06205459358219e-121,"1","PON2"
"PSMD12",1.18578008562516e-125,0.521676181760594,0.959,0.791,2.1444832848531e-121,"1","PSMD12"
"PGM3",3.61383951234702e-125,0.521327089890263,0.944,0.813,6.53562875807958e-121,"1","PGM3"
"UTP11",5.23790023259849e-125,0.533114899709582,0.948,0.739,9.47274257065438e-121,"1","UTP11"
"WDR34",3.24972689744633e-124,0.553239252530097,0.968,0.799,5.87713109403169e-120,"1","WDR34"
"SMOC1",1.03044122936889e-123,1.09214781727398,0.655,0.37,1.86355296331363e-119,"1","SMOC1"
"HIST1H1B",1.73311512276553e-123,0.5154099250987,0.999,0.955,3.13433869952146e-119,"1","HIST1H1B"
"TTC19",2.44972361952544e-123,0.532606315382676,0.958,0.789,4.43032516591177e-119,"1","TTC19"
"CLTA",3.14744388045578e-123,0.400680685344795,0.994,0.903,5.69215225780427e-119,"1","CLTA"
"ANAPC1",8.38774051321561e-123,0.681083755305345,0.835,0.548,1.51692287181504e-118,"1","ANAPC1"
"TCEA3",9.27528291876279e-123,0.659772441369793,0.866,0.609,1.67743491585825e-118,"1","TCEA3"
"ONECUT2",1.12952548437735e-122,0.919955100416033,0.593,0.298,2.04274683849644e-118,"1","ONECUT2"
"DHRS7",1.49233433954934e-122,0.528091958934688,0.969,0.814,2.69888665307498e-118,"1","DHRS7"
"CA8",1.00848169622744e-121,0.843531354666668,0.711,0.421,1.82383914762733e-117,"1","CA8"
"MRFAP1",1.0582684852479e-121,0.568232030747472,0.896,0.602,1.91387855557082e-117,"1","MRFAP1"
"STARD4",3.06595209231136e-121,0.605671573908004,0.822,0.531,5.54477435894509e-117,"1","STARD4"
"RNF128",4.05839916615829e-121,0.670473174286556,0.959,0.731,7.33961489199727e-117,"1","RNF128"
"ERH",5.35639645838544e-121,0.526652406846791,0.963,0.796,9.68704299499007e-117,"1","ERH"
"SMARCC2",5.45083129650018e-121,0.505224873695866,0.975,0.838,9.85782839972057e-117,"1","SMARCC2"
"CD177",8.24810809036121e-121,1.21449934063253,0.424,0.173,1.49167034814182e-116,"1","CD177"
"BOLA3",1.02055304024252e-120,0.587500144562479,0.816,0.512,1.8456701732786e-116,"1","BOLA3"
"COL27A1",2.94358756814833e-120,0.648248581577404,0.911,0.672,5.32347811699625e-116,"1","COL27A1"
"NKD2",3.65987089366273e-120,0.867525534226179,0.629,0.338,6.61887651118905e-116,"1","NKD2"
"DYNLL2",8.91260647211152e-120,0.421922481223087,0.987,0.89,1.61184488048137e-115,"1","DYNLL2"
"RNASE4",6.2024253682881e-119,0.609009817594354,0.946,0.776,1.1217086278549e-114,"1","RNASE4"
"RBM8A",9.6425317261536e-119,0.584200569409434,0.859,0.554,1.74385186267488e-114,"1","RBM8A"
"HNRNPF",1.39695419508371e-118,0.3657337958207,0.997,0.947,2.52639166180889e-114,"1","HNRNPF"
"UFL1",1.5570869298074e-118,0.52746524755537,0.946,0.777,2.81599171255669e-114,"1","UFL1"
"UCHL5",1.68474961254305e-118,0.522373628615741,0.95,0.786,3.0468696742841e-114,"1","UCHL5"
"AURKAIP1",7.41924096952452e-118,0.405007170015092,0.985,0.886,1.34176972933851e-113,"1","AURKAIP1"
"GOLIM4",1.093171834691e-117,0.413413961967165,0.983,0.896,1.97700126303867e-113,"1","GOLIM4"
"NDUFA9",1.31987758771504e-117,0.505055522401555,0.961,0.805,2.38699861738265e-113,"1","NDUFA9"
"FERMT1",3.829865333462e-117,0.56605744523644,0.971,0.789,6.92631145556602e-113,"1","FERMT1"
"CCND1",3.96074251372837e-117,0.435127572948498,0.993,0.907,7.16300283607776e-113,"1","CCND1"
"SPDEF",1.34821695377944e-116,1.02212860457094,0.336,0.113,2.43825036091011e-112,"1","SPDEF"
"ECI1",4.54328366151115e-116,0.473047179051392,0.974,0.831,8.21652850184291e-112,"1","ECI1"
"PYURF",4.83400365351911e-116,0.408781017500388,0.984,0.873,8.74229560738931e-112,"1","PYURF"
"CYSTM1",5.0501559844288e-116,0.638128786845564,0.956,0.775,9.13320709783949e-112,"1","CYSTM1"
"HIST1H2AK",6.05915734888924e-116,0.787712600805824,0.62,0.325,1.09579860654662e-111,"1","HIST1H2AK"
"ID2",8.72734062053363e-116,0.44660014017965,0.975,0.841,1.57833955122351e-111,"1","ID2"
"FBP1",1.1718862855945e-115,0.967252939282203,0.879,0.662,2.11935634749766e-111,"1","FBP1"
"PRR15L",3.64264510386575e-115,0.783674124283333,0.902,0.645,6.58772367034122e-111,"1","PRR15L"
"LGR5",4.24425812179448e-115,0.800288876935244,0.919,0.708,7.67574081326532e-111,"1","LGR5"
"CHI3L1",4.41575045788806e-115,1.61970942013529,0.76,0.497,7.98588470309055e-111,"1","CHI3L1"
"WDR5",4.87998271477719e-115,0.64460702849755,0.821,0.52,8.82544873967454e-111,"1","WDR5"
"VSNL1",5.9788762517363e-115,0.708345661856472,0.826,0.563,1.08127977012651e-110,"1","VSNL1"
"HNRNPC",7.04395986460287e-115,0.38918171716675,0.996,0.918,1.27390014151343e-110,"1","HNRNPC"
"MAZ",7.14936307289267e-115,0.558944301857752,0.877,0.608,1.29296231173264e-110,"1","MAZ"
"PILRB",1.53147290610902e-114,0.420565571079527,0.992,0.917,2.76966875069816e-110,"1","PILRB"
"RPH3AL",2.70244549905675e-114,0.783343241616151,0.53,0.248,4.88737268504413e-110,"1","RPH3AL"
"CCSER2",4.24722394514267e-114,0.513159683191283,0.989,0.886,7.68110450479052e-110,"1","CCSER2"
"ATP5MC3",4.37715713750054e-114,0.526440522691478,0.954,0.785,7.91608868316973e-110,"1","ATP5MC3"
"NSD3",7.44570150220752e-114,0.541541735595113,0.955,0.755,1.34655511667423e-109,"1","NSD3"
"NUDT8",7.91186758485419e-114,0.709797305335635,0.765,0.498,1.43086125272088e-109,"1","NUDT8"
"POGLUT3",4.19866268692879e-113,0.522058356797582,0.946,0.779,7.59328146931071e-109,"1","POGLUT3"
"PRXL2B",6.82500383711679e-113,0.660187509340689,0.778,0.478,1.23430194394257e-108,"1","PRXL2B"
"GLRX",1.14239538768216e-112,0.539952334318407,0.935,0.776,2.0660220586232e-108,"1","GLRX"
"DGKZ",2.18235988018493e-112,0.510198190786345,0.919,0.663,3.94679784331444e-108,"1","DGKZ"
"TSPAN3",2.37116798810769e-112,0.473835675447594,0.991,0.909,4.28825730649276e-108,"1","TSPAN3"
"ADIRF",3.21098741371671e-112,0.351145533059898,0.919,0.715,5.80707073770667e-108,"1","ADIRF"
"RPN2",4.36772477816702e-112,0.442739838225105,0.979,0.857,7.89903026131506e-108,"1","RPN2"
