"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZNF6281",1.12349319599267e-50,0.468067526328566,0.071,0.425,2.03183744495274e-46,"8","ZNF628"
"NR1H21",1.26777425985915e-50,0.307932524891148,0.268,0.821,2.29276974895526e-46,"8","NR1H2"
"THAP91",1.27597469941834e-50,0.358070957338303,0.086,0.455,2.30760024389806e-46,"8","THAP9"
"TAZ",1.32095767318134e-50,0.676334776897298,0.136,0.554,2.38895195194845e-46,"8","TAZ"
"HOXB83",1.33403476375406e-50,0.505456864801598,0.128,0.538,2.41260187024922e-46,"8","HOXB8"
"ZNF742",1.37489501723468e-50,0.583604845756349,0.108,0.498,2.48649763866893e-46,"8","ZNF74"
"GEMIN22",1.38125404710218e-50,0.59499609653284,0.082,0.448,2.4979979441843e-46,"8","GEMIN2"
"NPHP41",1.5558848220875e-50,0.682243683019027,0.12,0.52,2.81381770074524e-46,"8","NPHP4"
"THAP14",1.56179678729395e-50,0.587535768459172,0.136,0.555,2.8245094898211e-46,"8","THAP1"
"PI4K2A",1.69257773835147e-50,0.278446683666655,0.195,0.674,3.06102683980864e-46,"8","PI4K2A"
"TMEM2231",2.02473373381971e-50,0.670984281992839,0.114,0.511,3.66173095761295e-46,"8","TMEM223"
"KIN",2.12703376560746e-50,0.608896288774342,0.108,0.497,3.84674056510108e-46,"8","KIN"
"HNF1A3",2.1516538940106e-50,0.337178019961064,0.2,0.677,3.89126606731817e-46,"8","HNF1A"
"ZNF646",2.36646101649678e-50,0.470447347315984,0.114,0.51,4.27974474833443e-46,"8","ZNF646"
"IQSEC2",2.39634804719164e-50,0.604509649146611,0.113,0.505,4.33379544334608e-46,"8","IQSEC2"
"C19orf441",2.43622376571891e-50,0.826986747664604,0.098,0.476,4.40591068030265e-46,"8","C19orf44"
"CYB5R1",2.5049451792043e-50,0.36971171143286,0.141,0.563,4.53019335659097e-46,"8","CYB5R1"
"TET31",2.57191037452052e-50,0.533632195152734,0.133,0.548,4.65129991232036e-46,"8","TET3"
"PEX11A1",2.83906128881415e-50,0.687548705608016,0.143,0.567,5.13444234082039e-46,"8","PEX11A"
"NKD21",2.88521368688912e-50,0.282032031330123,0.069,0.42,5.21790895273898e-46,"8","NKD2"
"ZBTB37",3.05512080423631e-50,0.417042567868771,0.088,0.455,5.52518597446137e-46,"8","ZBTB37"
"ACVR1C2",3.4109139470998e-50,0.299964879278113,0.072,0.427,6.16863787332999e-46,"8","ACVR1C"
"RRAGA",3.91797237092136e-50,0.453998861933226,0.227,0.742,7.08565303281128e-46,"8","RRAGA"
